,page_id,title,attribute,text_offset_start_line_id,text_offset_start_offset,text_text,html_offset_start_line_id,html_offset_start_offset,html_text,text_offset_end_line_id,text_offset_end_offset,html_offset_end_line_id,html_offset_end_offset,system_03011,system_10011,system_05010,system_07011,system_02010,system_01011,text_offset_start,text_offset_end,html_offset_start,html_offset_end,correct,worker_Lns201407,worker_marble00,worker_tokumei3578,worker_MasatoYoshihara,worker_kisaran455,worker_diamante007,worker_stonewood,worker_recluse,worker_hona15,worker_tidy-blues,worker_uni-7188,worker_DNF38,worker_angari14,worker_kanatalanc,worker_bungoya_t,worker_ch_ch,worker_tomur106,worker_tomomintea,worker_kumin1,worker_momo_41049,worker_myu-2,worker_kuruupu,worker_minasenantoka,worker_mmm07r,worker_ubermensch,worker_pssky,worker_bvglp11,worker_nekoNO1,worker_mochachi,worker_huku1,worker_rinaria_tia,worker_kitajima,worker_ekd00,worker_ripmaykoro05one,worker_kitanokenta,worker_dorae1019,worker_asokoha,worker_bpktwn8181,worker_lanamaace,worker_takahiro0655,worker_chihiro999,worker_natsu-68,worker_kyaitokosan2,worker_lan1374,worker_doraiai51,worker_banas,worker_u2424,worker_rechard,worker_hyro_8333,worker_fayefaye,worker_burrell1931,worker_wata_yuki,worker_varacuda,worker_yuna1127,worker_PFOG0112,worker_lc02102,worker_mas_529,worker_akkun1,worker_tapdancemisei,worker_nyantakun,worker_inui,worker_MsaTK84,worker_shoun,worker_fujikao19,worker_kazu_mission,worker_komichi21,worker_hysq77,worker_cubebox,worker_yy-yamazaki,worker_r_a_g_55,worker_m-mon2,worker_ca2_se_9ci,worker_neroli_83574,worker_5c5d6c949acf2,worker_ralance,worker_miumiu-001,worker_imati,worker_suxsun0147,worker_emuxa345,worker_217murakami,worker_peka,worker_toscp,worker_truenoAE101,worker_mayumi_ogiuchi,worker_Kaocang46,worker_monmon333,worker_Luke_Sky,worker_koujikouji44,worker_ai_ka,worker_panpan1,worker_aladdin,worker_tamori,worker_monmon3,worker_tomotw,worker_lanlanshiy,worker_Tea-Sky,worker_cm8672,worker_hiroshi1624,worker_smozby,worker_mosa1017,worker_y-Nishin,worker_makiwo,worker_na-ko51,worker_lcptn15,worker_yukikou,worker_kyoushinrie,worker_mabu3,worker_maf111,worker_kuronyachi,worker_uemon-no-jou,worker_Weetabix,worker_hima_write,worker_kakiagezan,worker_ammer1022,worker_norynory,worker_st001,worker_hiyusutsugeshi,worker_moaimoai,worker_ako819,worker_shamneko,worker_hideo_ueda,worker_schuman48,worker_taberun3,worker_shirochansan,worker_ken_sio_2211,worker_Nao0101,worker_MorryBK,worker_toyo_1968,worker_mumu18650,worker_kusiro509,worker_tamic,worker_beiko777,worker_BK_WORKS,worker_Sato-fr,worker_lanctaro24,worker_lilybenzo810,worker_z129,worker_korokorokun,worker_muzieak1968,worker_m4AfTvGY,worker_kazuya23001,worker_y-ichii,worker_hey8,worker_miniC1kame,count_yes,count_no,count_na,MV
2336,183867,中禅寺湖,幅,39,116,東経139.46222度,39,1416,東経139.46222度,39,128,39,1428,,True,,,,,2524,2536,7579,7591,False,,,,,no,,,,,,no,no,,,,,,,,,,,,no,,,,no,,,,,,,,,,,,,,,,,,no,,,,,,,,,yes,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,no
4897,2978850,パウエル湖,流入・流出河川,94,23,サンフアン川,94,30,サンフアン川,94,29,94,36,True,True,True,True,True,,10182,10188,25994,26000,True,,,yes,,yes,,no,,yes,yes,,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,1,yes
1399,145876,猪苗代湖,水質（淡水・汽水）,73,1,酸性,73,75,酸性,73,3,73,77,,,,,True,,3049,3051,17182,17184,False,,,yes,,yes,,yes,,yes,yes,,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,1,yes
5626,3260984,モエリス湖,別名,37,196,モエリス湖,37,866,モエリス湖,37,201,37,871,,,,True,,,2707,2712,6231,6236,False,,,no,,no,,no,,no,no,,,,,,,,,,,,,,no,,,no,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,no
8215,881742,ヴェッテルン湖,幅,59,109,642 km,59,258,642 km,59,115,59,264,,True,,,,,2735,2741,7212,7218,False,,,no,,no,,no,,no,no,,,,,,,,,,,,,,no,,,no,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,no
3999,2388853,大谷池,島,48,104,北緯33.75500度,48,1573,北緯33.75500度,48,115,48,1584,,True,,,,,2511,2522,7391,7402,False,,,no,,no,,,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,no,,,no,,,,,,,,,,yes,,,,,,,no,,,yes,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,no
4756,2966274,女神湖,幅,42,105,東経138度16分5.82秒,42,1438,東経138度16分5.82秒,42,119,42,1452,,True,,,,,2503,2517,7288,7302,False,,,no,,no,,,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,no,,,no,,,,,,,,,,yes,,,,,,,no,,,yes,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,no
8134,881742,ヴェッテルン湖,所在地,60,189,エステルイェートランド,60,1627,エステルイェートランド,60,200,60,1638,,,,,True,,2981,2992,8896,8907,False,,,yes,,yes,,,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,no,,,no,,,,,,,,,,no,,,,,,,yes,,,yes,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,no
2841,196428,印旛沼,湖岸の地域区分,71,6,栄町,71,126,栄町,71,8,71,128,,True,,,,,2874,2876,13002,13004,False,,,no,,yes,,,,,na,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,yes,,,na,,,,,,,,,,yes,,,,,,,no,,,yes,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,yes
5111,2978850,パウエル湖,成因,55,54,貯,55,483,貯,55,55,55,484,,True,,,,,6763,6764,15348,15349,False,,,yes,,no,,,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,no,,,no,,,,,,,,,,no,,,,,,,no,,,na,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,1,no
925,134839,風蓮湖,島,43,0,北緯43度18分0秒,43,539,北緯43度18分0秒,43,10,43,549,,True,,,,,2404,2414,6904,6914,False,,,,,no,,,no,no,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,no,,,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,no
7713,666576,宍塚大池,動物,91,69,コハクチョウ,91,1063,コハクチョウ,91,75,91,1069,True,,,True,True,,3418,3424,17375,17381,True,,,,,yes,,,yes,yes,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,yes
1033,141263,鷹架沼,別名,90,59,ショウジョウバカマ,90,938,ショウジョウバカマ,90,68,90,947,,True,,,,,3964,3973,18702,18711,False,,,,,no,,,no,no,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,no,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,no
6276,435939,大瀬明神の神池,所在地,37,23,静岡県沼津市西浦江梨、,37,94,"静岡県</a><a href=""/index.php/%E6%B2%BC%E6%B4%A5%E5%B8%82"" title=""沼津市"">沼津市</a>西浦江梨、",37,34,37,174,,True,,,,,2661,2672,6422,6502,False,yes,,,,,,,,,yes,,,yes,,,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
1,1014896,小堤西池,所在地,39,16,愛知県刈谷市井ヶ谷町小堤西1,39,87,"愛知県</a><a href=""/index.php/%E5%88%88%E8%B0%B7%E5%B8%82"" title=""刈谷市"">刈谷市</a>井ヶ谷町小堤西1",39,30,39,170,True,True,True,True,True,,2498,2512,6485,6568,True,yes,,,,,,,,,yes,,,yes,,,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
5759,3323513,ラレオ湖,種類,53,34,湖,53,149,湖,53,35,53,150,,,,True,,,2514,2515,6610,6611,False,yes,,,,,,,,,no,,,yes,,,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,yes
778,1250740,ミラックス湖,名前の謂れ,36,7,フランス語で「千の湖」を意味する,36,95,フランス語</a>で「千の湖」を意味する,36,23,36,115,,True,,True,,,2341,2357,6024,6044,False,yes,,,,,,,,,yes,,,yes,,,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
8150,881742,ヴェッテルン湖,島,59,46,ビシングショ,59,191,ビシングショ,59,52,59,197,,,,,True,,2672,2678,7145,7151,False,,,,,,,,,,yes,,,yes,,,,,,,,,,,,,,,,yes,,yes,yes,,,,,,,,,yes,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
1605,1570369,バリンゴ湖,国,37,33,ケニア,37,782,ケニア,37,36,37,785,True,True,True,,True,,2316,2319,5344,5347,True,,,,,,,,,,yes,,,yes,,,,,,,,,,,,,,,,yes,,yes,yes,,,,,,,,,yes,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
4771,2966274,女神湖,最大水深,69,76,平均で4メートル,69,779,平均で4メートル,69,84,69,787,,True,,,,,3079,3087,14704,14712,False,,,,,,,,,,no,,,yes,,,,,,,,,,,,,,,,na,,yes,yes,,,,,,,,,no,,,,,,,,,,,,,,,,yes,,,,,,,,no,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,yes
3851,2378497,クヴィータゥルヴァトン湖,面積,40,0,30 km²,40,65,30 km²,40,6,40,71,,True,True,True,True,,6101,6107,11574,11580,True,,,,,,,,,,yes,,,yes,,,,,,,,,,,,,,,,yes,,yes,yes,,,,,,,,,yes,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
5067,2978850,パウエル湖,動物,81,5,Lake Powell,81,199,Lake Powell,81,16,81,210,,True,,,,,7933,7944,21725,21736,False,,,,,,,,,,no,,,no,,,,,,,,,,,,,,,,no,,no,no,,,,,,,,,no,,,,,,,,,,,,,,,,no,,,,,,,,no,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,no
7146,54796,カスピ海,国,114,220,ロシア,114,703,ロシア,114,223,114,706,,True,,True,,,12540,12543,43005,43008,False,,,,,,yes,,,,,,,yes,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,no,,,,,,,,no,,,,,,,,,,,,,,yes,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,0,yes
2614,192615,ザイサン湖,動物,48,14,Bukhtarma dam,48,185,Bukhtarma dam,48,27,48,198,,,True,True,,,2810,2823,10143,10156,False,,,,,,no,,,,,,,yes,,,,,,,,,,no,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,no,,,,,,,,no,,,,,,,,,,,,,,no,,,,,,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,no
7930,687963,藺牟田池,別名,70,64,メダカ,70,678,メダカ,70,67,70,681,,True,,,,,3182,3185,12114,12117,False,,,,,,no,,,,,,,no,,,,,,,,,,no,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,no,,,,,,,,no,,,,,,,,,,,,,,no,,,,,,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,no
580,1146256,ピエリネン湖,種類,35,53,湖,35,288,湖,35,54,35,289,True,True,True,,True,,2271,2272,4576,4577,True,,,,,,yes,,,,,,,yes,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,na,,,,,,,,,,,,,,yes,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,1,yes
968,134839,風蓮湖,湖岸の地域区分,81,89,浜中町,81,641,浜中町,81,92,81,644,,,,,True,,3816,3819,17650,17653,False,,no,,,,,,,,,,no,,,,,,,,,,,,,na,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,no
2289,183867,中禅寺湖,観光地,114,28,日光,114,203,日光,114,30,114,205,,True,,,,,5253,5255,24697,24699,False,,yes,,,,,,,,,,no,,,,,,,,,,,,,yes,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,yes
4633,2802797,ファグナーノ湖,長さ,58,56,10km以下,58,81,10km以下,58,62,58,87,,True,,,,,3082,3088,11752,11758,True,,yes,,,,,,,,,,no,,,,,,,,,,,,,yes,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,yes
527,1114951,ジ海,産業,69,12,鵜飼,69,148,鵜飼,69,14,69,150,,,,,True,,3106,3108,13194,13196,False,,yes,,,,,,,,,,no,,,,,,,,,,,,,yes,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,,,no,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,0,yes
4885,2978850,パウエル湖,流入・流出河川,40,14,サンフアン川,40,204,サンフアン川,40,20,40,210,True,True,True,True,True,,6369,6375,11892,11898,True,,,,yes,,,,,,,,,yes,,,,,,,,,,,yes,,yes,yes,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
3109,2159741,ヤムドク湖,国,36,0,中華人民共和国,36,101,中華人民共和国,36,7,36,108,True,True,True,True,True,,2248,2255,4785,4792,True,,,,yes,,,,,,,,,yes,,,,,,,,,,,yes,,yes,yes,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
8276,951230,泡瀬干潟,動物,79,12,ムナグロ,79,90,ムナグロ,79,16,79,94,True,,,True,True,,4103,4107,14484,14488,True,,,,yes,,,,,,,,,yes,,,,,,,,,,,yes,,yes,yes,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,yes
5982,3550700,ブラック湖 (サスカチュワン州),流入・流出河川,51,20,フォンデュラク川,51,27,フォンデュラク川,51,28,51,35,True,True,True,,True,,6383,6391,14407,14415,True,,,,no,,,,,,,,,yes,,,,,,,,,,,yes,,yes,yes,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,0,yes
2937,2032404,ピッチ湖,所在地,37,13,トリニダード・トバゴ トリニダード島ラ・ブレア,37,283,"トリニダード・トバゴ</a> <a href=""/index.php/%E3%83%88%E3%83%AA%E3%83%8B%E3%83%80%E3%83%BC%E3%83%89%E5%B3%B6"" title=""トリニダード島"">トリニダード島</a>ラ・ブレア",37,36,37,415,,True,,,,,2346,2369,5973,6105,False,,,,yes,,,,,,,,,yes,,,,,,,,,,,yes,,yes,yes,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
5042,2978850,パウエル湖,動物,174,3,カワカマス,174,6,カワカマス,174,8,174,11,True,,True,,True,,11934,11939,31330,31335,True,,,,,yes,,,,,,,,yes,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,no,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,1,yes
667,1163585,鴻沼,流入・流出河川,50,26,鴻沼川,50,240,鴻沼川,50,29,50,243,True,True,,True,True,,2536,2539,6464,6467,False,,,,,yes,,,,,,,,yes,,,,,,,,,,,no,yes,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,no,,,,,,yes,,,,,,,,,,,,,,,no,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,yes
7073,54796,カスピ海,国,108,181,グルジア,108,409,グルジア,108,185,108,413,True,True,,,,,11796,11800,40321,40325,False,,,,,no,,,,,,,,yes,,,,,,,,,,,no,no,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,no,,,,,,no,,,,,,,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,no
1189,143182,木崎湖,流入・流出河川,76,11,稲尾沢川,76,11,稲尾沢川,76,15,76,15,True,True,,,True,,2920,2924,13095,13099,True,,yes,,,,yes,,,,,,,yes,,,,,,,,,,yes,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,yes,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
3629,2280167,プレスパ湖,面積,47,159,138平方キロ,47,605,138平方キロ,47,166,47,612,,,True,True,,,6858,6865,13903,13910,False,,no,,,,no,,,,,,,no,,,,,,,,,,yes,,no,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,yes,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,yes
2004,1690143,トラウン湖,成因,38,0,228 m,38,0,"228 <a href=""/index.php/%E3%83%A1%E3%83%BC%E3%83%88%E3%83%AB"" title=""メートル"">m",38,5,38,76,,True,,,,,2257,2262,5321,5397,False,,no,,,,no,,,,,,,no,,,,,,,,,,no,,no,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,no,,yes,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,no
4127,2392372,池ノ内湖,種類,58,43,小池,58,239,小池,58,45,58,241,,True,,,,,2756,2758,10211,10213,False,,no,,,,yes,,,,,,,yes,,,,,,,,,,yes,,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,yes,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,0,yes
6577,486835,イマンドラ湖,幅,39,9,東経33度0分,39,411,東経33度0分,39,16,39,418,,True,,,,,2285,2292,6424,6431,False,,no,,,,no,,,,,,,no,,,,,,,,,,yes,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,no,,yes,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,no
1658,1570369,バリンゴ湖,流入・流出河川,46,7,ペルケラ川,46,10,ペルケラ川,46,12,46,15,True,True,True,True,True,,2712,2717,9696,9701,True,,,,,yes,,,,yes,,,,yes,,,,,,,,,,yes,,yes,,,yes,,,,,,,,,,yes,,,,yes,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
4278,252336,多々良沼,植物,64,110,ヨシ,64,433,ヨシ,64,112,64,435,True,True,,True,True,,3086,3088,9355,9357,True,,,,,yes,,,,yes,,,,yes,,,,,,,,,,yes,,yes,,,no,,,,,,,,,,yes,,,,yes,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,yes
1661,1570369,バリンゴ湖,島,48,43,Ol Kokwe島,48,50,Ol Kokwe島,48,52,48,59,True,True,,,,,2991,3000,10245,10254,True,,,,,yes,,,,yes,,,,yes,,,,,,,,,,yes,,yes,,,yes,,,,,,,,,,yes,,,,yes,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
5961,3550700,ブラック湖 (サスカチュワン州),島,46,0,ファー島,46,0,ファー島,46,4,46,4,True,,True,True,True,,6201,6205,13061,13065,True,,,,,,,yes,,,,,,,,,,,,,,,,,,,,no,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,no,,,,,yes,,,yes,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,0,yes
3726,2354120,淡海湖,島,41,27,北緯35.44917度,41,746,北緯35.44917度,41,38,41,757,,True,,,,,2407,2418,6317,6328,False,,,,,,,no,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,no,,,yes,,,,yes,,,,,no,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,0,yes
5960,3550700,ブラック湖 (サスカチュワン州),島,39,22,スーター,39,183,スーター,39,26,39,187,True,,,,,,6108,6112,11558,11562,False,,,,,,,no,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,,,no,,,no,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,no
8152,881742,ヴェッテルン湖,島,60,109,ヴァドステナ,60,650,ヴァドステナ,60,115,60,656,,,,,True,,2901,2907,7919,7925,False,,,,,,,no,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,,,no,,,na,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,1,no
